T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
49.0	3.233181955017209e-47	1.2932727820068835e-48	8.983300590468134e-46	71221610167853.05	3.5933202361872537e-47	1.699307038166192e-45	134724851082217.4	6.797228152664768e-47
50.0	4.915629969596013e-46	1.9662519878384052e-47	1.4450881397751737e-44	75356575750010.39	5.780352559100695e-46	2.7728707614247056e-44	144596055996140.7	1.1091483045698823e-45
51.0	6.720066381314347e-45	2.688026552525739e-46	2.08747032095933e-43	79625605663202.1	8.349881283837321e-45	4.062792192792989e-43	154973359758331.8	1.6251168771171958e-44
52.0	8.31148909518681e-44	3.324595638074724e-45	2.7245925286629567e-42	84028908884280.98	1.0898370114651827e-43	5.378311747073754e-42	165872020491774.8	2.1513246988295015e-43
53.0	9.353178025482083e-43	3.741271210192833e-44	3.231641199524758e-41	88566592882412.89	1.2926564798099032e-42	6.469640876430868e-41	177307446656681.3	2.5878563505723473e-42
54.0	9.627113940130022e-42	3.8508455760520085e-43	3.5017582238431912e-40	93238665231334.02	1.4007032895372765e-41	7.1093468173685555e-40	189295195597650.1	2.843738726947422e-41
55.0	9.107620486538752e-41	3.643048194615501e-42	3.4835699094930753e-39	98045035367441.1	1.3934279637972303e-40	7.171826396780544e-39	201850972132153.7	2.8687305587122174e-40
56.0	7.95517453227431e-40	3.1820698129097236e-41	3.196096336711226e-38	102985516484253.77	1.2784385346844904e-39	6.67211059777797e-38	214990627178429.5	2.6688442391111882e-39
57.0	6.442531261840531e-39	2.5770125047362127e-40	2.7159064246041238e-37	108059827553517.2	1.0863625698416495e-38	5.7487571041770664e-37	228730156420974.47	2.2995028416708265e-38
58.0	4.856521819856915e-38	1.9426087279427663e-39	2.1459768026215123e-36	113267595463057.84	8.583907210486049e-38	4.605520837588828e-36	243085699011956.94	1.842208335035531e-37
59.0	3.420114719442251e-37	1.3680458877769004e-38	1.5825227507720078e-35	118608357261424.56	6.330091003088031e-37	3.443326018568687e-35	258073536306962.22	1.3773304074274748e-36
60.0	2.2577781031919225e-36	9.03111241276769e-38	1.092905239856671e-34	124081562499378.9	4.371620959426684e-36	2.4108270900971926e-34	273710090633586.1	9.64330836038877e-36
61.0	1.401614899367092e-35	5.606459597468368e-37	7.091167209088208e-34	129686575658363.84	2.836466883635283e-35	1.5857640129072364e-33	290011924091475.56	6.343056051628946e-35
62.0	8.206828268750715e-35	3.282731307500286e-36	4.335715163252509e-33	135422678656237.67	1.7342860653010036e-34	9.828826950041275e-33	306995737382504.1	3.93153078001651e-34
63.0	4.5449730069773625e-34	1.817989202790945e-35	2.505150853003924e-32	141289073420736.75	1.0020603412015696e-33	5.756767119585265e-32	324678368669837.44	2.3027068478341062e-33
64.0	2.3868820275821386e-33	9.547528110328555e-35	1.3714599531540867e-31	147284884521378.75	5.485839812616347e-33	3.194598571679127e-31	343076792464721.8	1.2778394286716508e-32
65.0	1.1916225392759711e-32	4.766490157103885e-34	7.131551192802488e-31	153409161850777.8	2.852620477120995e-32	1.6838014813799052e-30	362208118539889.4	6.73520592551962e-32
66.0	5.668320056124174e-32	2.2673280224496694e-33	3.530586771973981e-30	159660883346639.38	1.4122347087895923e-31	8.449160664485306e-30	382089590868535.75	3.3796642657941224e-31
67.0	2.5746482615450985e-31	1.0298593046180395e-32	1.6677152576764913e-29	166038957746024.53	6.670861030705966e-31	4.0451547927387593e-29	402738586587884.4	1.618061917095504e-30
68.0	1.1189583376131261e-30	4.475833350452504e-32	7.5318786531494e-29	172542227363822.4	3.01275146125976e-30	1.851614362975639e-28	424172614986399.1	7.406457451902556e-30
69.0	4.662035709858757e-30	1.864814283943503e-31	3.258619144063741e-28	179169470887694.78	1.3034476576254963e-29	8.119005641267767e-28	446409316513762.06	3.2476022565071066e-29
70.0	1.8654707029939283e-29	7.461882811975714e-31	1.353029152881815e-27	185919406182151.72	5.41211661152726e-29	3.4165438787526744e-27	469466461812775.56	1.3666175515010698e-28
71.0	7.181142963985691e-29	2.8724571855942766e-30	5.4009932585673744e-27	192790693094762.6	2.16039730342695e-28	1.3821437785098712e-26	493361950772388.8	5.528575114039485e-28
72.0	2.6637342783035734e-28	1.0654937113214294e-29	2.0760658044223744e-26	199781936257885.97	8.304263217689497e-28	5.384062179052555e-26	518113811601096.06	2.1536248716210218e-27
