T	63_TPD_HH	63_rate_HH	63_TPD_full	63_pre_full	63_rate_full	63_TPD_Tait	63_pre_Tait	63_rate_Tait
103.0	2.800270110623069e-17	1.1201080442492278e-18	1.3654573401564591e-14	1229677866484158.2	5.46182936062591e-16	1.3187829388270073e-14	1187644712786621.8	5.275131755308099e-16
104.0	5.3172003818367616e-17	2.1268801527347048e-18	2.6780405254359843e-14	1270127332588537.8	1.0712162101744228e-15	2.5902568058806624e-14	1228493720063069.0	1.0361027223522922e-15
105.0	9.975491312400507e-17	3.990196524960203e-18	5.187566327785968e-14	1311422143224943.0	2.075026531114499e-15	5.025044940651292e-14	1270336568146229.0	2.0100179762606217e-15
106.0	1.8497021039116695e-16	7.398808415646679e-18	9.928156287494431e-14	1353567627777198.2	3.971262514998192e-15	9.631976795186953e-14	1313187625570353.0	3.852790718075176e-15
107.0	3.391001923752659e-16	1.356400769501064e-17	1.8779207931499911e-13	1396568940115397.8	7.511683172601505e-15	1.8247961951338949e-13	1357061329455757.8	7.299184780537031e-15
108.0	6.148232299676381e-16	2.459292919870554e-17	3.511798592876124e-13	1440431057923258.0	1.404719437151001e-14	3.418035122264625e-13	1401972185184511.2	1.3672140489063715e-14
109.0	1.1028099629297703e-15	4.411239851719087e-17	6.494719873201396e-13	1485158782115094.8	2.5978879492824906e-14	6.331936230394903e-13	1447934766080701.2	2.532774492159793e-14
110.0	1.95752202010046e-15	7.83008808040186e-17	1.1882277504365997e-12	1530756736340618.5	4.752911001753021e-14	1.1604439344437935e-12	1494963713095138.2	4.64177573778147e-14
111.0	3.4394656756073723e-15	1.375786270242955e-16	2.1511598815759972e-12	1577229366575822.8	8.604639526326204e-14	2.1045755185022218e-12	1543073734494410.2	8.418302074030075e-14
112.0	5.983730806938353e-15	2.39349232277536e-16	3.854785856218299e-12	1624580940798205.2	1.541914342494617e-13	3.778141641634754e-12	1592279605554199.0	1.5112566566608853e-13
113.0	1.0310128052001449e-14	4.1240512208006367e-16	6.8391002732136905e-12	1672815548744538.2	2.735640109308969e-13	6.7155520592438475e-12	1642596168256735.0	2.686220823720102e-13
114.0	1.7598562848218263e-14	7.039425139287476e-16	1.201659274122313e-11	1721937101749498.5	4.806637096563402e-13	1.1821900283628271e-11	1694038330992323.2	4.728760113522783e-13
115.0	2.976581865192453e-14	1.190632746077031e-15	2.0914909340980643e-11	1771949332663363.5	8.365963736621846e-13	2.061595138328055e-11	1746621068264836.2	8.246380553534351e-13
