T	des_TPD_HH	des_rate_HH	des_TPD_full	des_pre_full	des_rate_full	des_TPD_Tait	des_pre_Tait	des_rate_Tait
95.0	2.852803577215984e-26	1.1411214308863936e-27	9.439314095507756e-24	918268913221626.4	3.7757256382031024e-25	9.199398397203077e-24	894929597958042.6	3.679759358881231e-25
96.0	7.066825440059359e-26	2.8267301760237435e-27	2.4249626777454695e-23	952318036908741.4	9.699850710981878e-25	2.3638973713875916e-23	928336804864365.5	9.455589485550366e-25
97.0	1.7183540428316935e-25	6.873416171326774e-27	6.112572934408843e-23	987217215147278.8	2.4450291737635373e-24	5.960307377917719e-23	962625413911527.1	2.3841229511670878e-24
98.0	4.1037733936325294e-25	1.6415093574530118e-26	1.512681692094652e-22	1022976116111936.0	6.050726768378608e-24	1.475467251594778e-22	997809232685771.1	5.901869006379112e-24
99.0	9.631040003105079e-25	3.8524160012420317e-26	3.6771859291375534e-22	1059604314025807.4	1.4708743716550214e-23	3.5879906786650334e-22	1033902140131798.9	1.4351962714660135e-23
100.0	2.222333648250119e-24	8.889334593000475e-26	8.785341149921326e-22	1097111288173039.4	3.51413645996853e-23	8.575593772667766e-22	1070918086187749.5	3.430237509067107e-23
101.0	5.044402670263359e-24	2.0177610681053435e-25	2.063944556742373e-21	1135506422000291.2	8.255778226969492e-23	2.015531051991255e-21	1108871091425712.2	8.062124207965021e-23
102.0	1.1268969871222421e-23	4.5075879484889685e-25	4.7703085627687996e-21	1174799002302861.8	1.90812342510752e-22	4.660577747106723e-21	1147775246697655.2	1.8642310988426891e-22
103.0	2.478757804590969e-23	9.915031218363877e-25	1.0851965910995305e-20	1214998218491141.2	4.340786364398122e-22	1.0607653362273798e-20	1187644712786621.8	4.243061344909519e-22
104.0	5.370973816966378e-23	2.1483895267865514e-24	2.4309749664526778e-20	1256113161933360.0	9.723899865810712e-22	2.377522639219095e-20	1228493720063069.0	9.51009055687638e-22
105.0	1.1469046297195227e-22	4.587618518878091e-24	5.364778725349933e-20	1298152825370520.5	2.1459114901399733e-21	5.2498245673653773e-20	1270336568146229.0	2.099929826946151e-21
106.0	2.4145496012568125e-22	9.65819840502725e-24	1.166821523823288e-19	1341126102399463.8	4.6672860952931525e-21	1.142514177893088e-19	1313187625570353.0	4.570056711572352e-21
107.0	5.013627058331042e-22	2.0054508233324168e-23	2.5021514149403566e-19	1385041787020274.8	1.0008605659761426e-20	2.4516032349924035e-19	1357061329455757.8	9.806412939969615e-21
