T	46_TPD_HH	46_rate_HH	46_TPD_full	46_pre_full	46_rate_full	46_TPD_Tait	46_pre_Tait	46_rate_Tait
130.0	0.024707513962773542	0.0010738586675852672	0.0	6.111811058079825e+16	43.55868496156471	0.0	3.366032088155194e+17	239.89604702298203
131.0	0.03132760459785347	0.001399148793424866	0.0	6.166458997214711e+16	57.260806881134876	0.0	3.4575307677338323e+17	321.06108492120643
132.0	0.0392327172564334	0.0018157172170944092	0.0	6.2206531690721976e+16	74.96212907216047	0.0	3.5507923693100275e+17	427.88907959059287
133.0	0.048413194512697294	0.002347139580842777	0.0	6.274394385597981e+16	97.73912432728919	0.0	3.6458371173897734e+17	567.9287998082124
134.0	0.058686275009626775	0.0030225517021200046	0.0	6.327683603475623e+16	126.93348590591383	0.0	3.742685313233237e+17	750.783577732328
135.0	0.06960317440484921	0.0038778347113869226	0.0	6.380521915405363e+16	164.21136517860856	0.0	3.8413573345656557e+17	988.6252886693705
136.0	0.08034792731239995	0.004957025357954643	0.0	6.4329105417770584e+16	211.63445089925548	0.0	3.9418736352914726e+17	1296.8255300635806
137.0	0.08965991506085184	0.006313988878773346	0.0	6.484850822723672e+16	271.7449710975598	0.0	4.0442547452116595e+17	1694.7280961308577
138.0	0.09584180046836567	0.008014397093555559	0.0	6.5363442105417304e+16	347.6670115398452	0.0	4.1485212697441786e+17	2206.5912468858564
139.0	0.0969468103583043	0.010138060255893058	0.0	6.587392262465825e+16	443.22689615261174	0.0	4.254693889647467e+17	2862.733372556183
140.0	0.0912481783049799	0.012781667702910341	0.0	6.637996633783842e+16	563.0957682696743	0.0	4.3627933607469875e+17	3700.9215502890197
141.0	0.07802572458346509	0.01606199955615163	0.0	6.6881590712801976e+16	712.9579507571252	0.0	4.472840513664695e+17	4768.0492833664375
142.0	0.05849074358211548	0.02011967968623999	0.0	6.7378814069947256e+16	899.7091518726339	0.0	4.5848562535514144e+17	6122.157518323792
143.0	0.03630032001017988	0.025123548917340102	0.0	6.78716555228477e+16	1131.6891261729975	0.0	4.698861559822098e+17	7834.861978359836
144.0	0.016806470050054076	0.03127574707002306	0.0	6.836013492178479e+16	1418.954000102022	0.0	4.81487748589385e+17	9994.260070474229
145.0	0.004549522152934548	0.038817602979362285	0.0	6.8844272800079896e+16	1773.594134419405	0.0	4.932925158926705e+17	12708.402270162642
146.0	0.0	0.048036443136615446	0.0	6.932409032310553e+16	2210.104124854899	0.0	5.053025779567152e+17	16109.426126428863
147.0	0.0	0.05927344214607074	0.0	6.979960923987195e+16	2745.812342895366	0.0	5.175200621694269e+17	20358.46604122617
148.0	0.0	0.0729326518224772	0.0	7.0270851837076104e+16	3401.378295141633	0.0	5.299471032168493e+17	25651.468956633842
149.0	0.0	0.08949136053814863	0.0	7.0737840895513304e+16	4201.3670370023465	0.0	5.4258584305829555e+17	32226.065241890075
150.0	0.0	0.10951195042153739	0.0	7.120059964874698e+16	5174.910919483358	0.0	5.554384309017342e+17	40369.66563981278
151.0	0.0	0.1336554372697085	0.0	7.16591517439427e+16	6356.47008139113	0.0	5.6850702317942374e+17	50428.9793551206
152.0	0.0	0.16269689662405182	0.0	7.211352120476862e+16	7786.7043283288185	0.0	5.817937835237903e+17	62821.17551153399
153.0	0.0	0.1975429994291664	0.0	7.25637323962714e+16	9513.470369357898	0.0	5.953008827435462e+17	78046.94055572497
154.0	0.0	0.23925190210533093	0.0	7.300980999164309e+16	11592.959817035482	0.0	6.090304988000434e+17	96705.71805002836
155.0	0.0	0.2890557587700929	0.0	7.345177894078915e+16	14090.994901581138	0.0	6.229848167838623e+17	119513.45499937252
156.0	0.0	0.34838614779695753	0.0	7.388966444061914e+16	17084.500509959857	0.0	6.371660288916232e+17	147323.2207499902
157.0	0.0	0.4189027309497532	0.0	7.43234919069779e+16	20663.17294037911	0.0	6.515763344030299e+17	181149.1109497246
158.0	0.0	0.5025254910280107	0.0	7.475328694814578e+16	24931.367666640548	0.0	6.662179396581274e+17	222193.9004668813
159.0	0.0	0.6014709233468808	0.0	7.517907533983085e+16	30010.230439349525	0.0	6.810930580347825e+17	271880.96594526526
160.0	0.0	0.7182925874972209	0.0	7.560088300158368e+16	36040.098216399274	0.0	6.962039099263745e+17	331891.06127056904
161.0	0.0	0.85592645872564	0.0	7.601873597456826e+16	43183.198717376385	0.0	7.115527227197006e+17	404204.5981055865
162.0	0.0	1.017741552976155	0.0	7.643266040062522e+16	51626.67983936611	0.0	7.271417307730853e+17	491150.15931275295
163.0	0.0	1.207596336174911	0.0	7.684268250256125e+16	61586.00275851422	0.0	7.429731753946961e+17	595460.0560415717
164.0	0.0	1.4299014667443277	0.0	7.72488285656092e+16	73308.73527584766	0.0	7.5904930482106e+17	720333.8300616785
165.0	0.0	1.6896894606245711	0.0	7.765112491999973e+16	87078.78485008572	0.0	7.753723741957772e+17	869510.7021418599
166.0	0.0	1.9926919102760285	0.0	7.804959792458992e+16	103221.11379702642	0.0	7.919446455484306e+17	1047352.0755107696
167.0	0.0	2.3454249332481547	0.0	7.844427395149723e+16	122106.98232666527	0.0	8.087683877736876e+17	1258935.3213124142
168.0	0.0	2.755283571934111	0.0	7.88351793716868e+16	144159.7684372002	0.0	8.258458766105887e+17	1510160.2011418338
169.0	0.0	3.2306459140909918	0.0	7.922234054146715e+16	169861.417190942	0.0	8.431793946220282e+17	1807869.4208956256
170.0	0.0	3.7809877535822207	0.0	7.960578378984466e+16	199759.57556142102	0.0	8.607712311744084e+17	2159984.9610025072
171.0	0.0	4.417008662589177	0.0	7.998553540669654e+16	234475.47286446474	0.0	8.786236824174871e+17	2575661.99134937
172.0	0.0	5.1507704002208845	0.0	8.036162163171651e+16	274712.61076823715	0.0	8.967390512643913e+17	3065462.3556457357
173.0	0.0	5.995848638004839	0.0	8.073406864409856e+16	321266.3310178124	0.0	9.151196473718172e+17	3641549.8003635965
174.0	0.0	6.967499040141479	0.0	8.110290255291304e+16	375034.3333076298	0.0	9.337677871203921e+17	4317909.328563959
175.0	0.0	8.082838795611055	0.0	8.146814938814733e+16	437028.22018843936	0.0	9.52685793595217e+17	5110593.2797131
176.0	0.0	9.361044760200341	0.0	8.18298350923677e+16	508386.1505020295	0.0	9.718759965665727e+17	6037996.973867632
177.0	0.0	10.823569429215157	0.0	8.21879855129771e+16	590386.687594322	0.0	9.913407324707857e+17	7121167.013253342
178.0	0.0	12.494376026016031	0.0	8.254262639503003e+16	684463.9334620985	0.0	1.0110823443912741e+18	8384145.607193819
179.0	0.0	14.400194057492198	0.0	8.289378337457883e+16	792224.0450366876	0.0	1.0311031820397322e+18	9854354.578490937
180.0	0.0	16.57079675512056	0.0	8.32414819725248e+16	915463.2339954921	0.0	1.0514056017374934e+18	11563023.021686211
181.0	0.0	19.039301889257594	0.0	8.358574758893629e+16	1056187.356813518	0.0	1.0719919663970367e+18	13545662.917108098
182.0	0.0	21.842497514710928	0.0	8.392660549782261e+16	1216633.2072172945	0.0	1.0928646455036539e+18	15842597.360237543
183.0	0.0	25.021194277365925	0.0	8.426408084232616e+16	1399291.6287766334	0.0	1.1140260150972687e+18	18499546.44472885
184.0	0.0	28.620605984580944	0.0	8.459819863031731e+16	1606932.5710581858	0.0	1.1354784577544005e+18	21568276.24041832
185.0	0.0	32.69076021615897	0.0	8.492898373036469e+16	1842632.2185628475	0.0	1.1572243625702856e+18	25107316.73591764
186.0	0.0	37.28694082782343	0.0	8.525646086806083e+16	2109802.327567981	0.0	1.179266125141132e+18	29182755.069966875
187.0	0.0	42.47016427518552	0.0	8.558065462268765e+16	2412221.911987721	0.0	1.2016061475465324e+18	33869110.85770645
188.0	0.0	48.30769176308247	0.0	8.590158942419322e+16	2754071.42544122	0.0	1.224246838332005e+18	39250300.92851042
189.0	0.0	54.873579302768306	0.0	8.621928955046965e+16	3139969.5928710364	0.0	1.2471906124916895e+18	45420701.33210436
190.0	0.0	62.24926783764015	0.0	8.653377912491094e+16	3575013.0512712956	0.0	1.2704398914511647e+18	52486315.04048248
191.0	0.0	70.52421567688019	0.0	8.684508211423522e+16	4064818.965359766	0.0	1.2939971030504164e+18	60566054.3757809
192.0	0.0	79.79657555542241	0.0	8.715322232655467e+16	4615570.790346257	0.0	1.3178646815269363e+18	69793147.8298464
193.0	0.0	90.17391871794672	0.0	8.74582234096805e+16	5234067.360304849	0.0	1.3420450674989486e+18	80316681.61094683
194.0	0.0	101.77400850395587	0.0	8.776010884964586e+16	5927775.487033167	0.0	1.366540707948772e+18	92303286.95797157
195.0	0.0	114.72562599036645	0.0	8.80589019694363e+16	6704886.260673356	0.0	1.3913540562063127e+18	105938985.0037846
196.0	0.0	129.16945032721	0.0	8.835462592791371e+16	7574375.249757832	0.0	1.4164875719326835e+18	121431201.7481689
197.0	0.0	145.25899648092616	0.0	8.864730371891851e+16	8546066.804720765	0.0	1.441943721103947e+18	139010966.51823035
198.0	0.0	163.16161317819217	0.0	8.893695817054792e+16	9630702.675272156	0.0	1.4677249759949855e+18	158935308.15133774
199.0	0.0	183.0595439210951	0.0	8.922361194458699e+16	10840015.158346511	0.0	1.4938338151634941e+18	181489864.03374675
200.0	0.0	205.151054021613	0.0	8.950728753609338e+16	12186804.99960857	0.0	1.5202727234340948e+18	206991718.06814206
201.0	0.0	229.65162667968394	0.0	8.978800727311886e+16	13685024.27770389	0.0	1.5470441918825733e+18	235792484.62653187
