T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
56.0	3.037312520895657e-44	1.2149250083582628e-45	1.0574019050278425e-40	6788015783217043.0	4.22960762011137e-42	2.750881345516722e-40	1.765934589519504e+16	1.1003525382066889e-41
57.0	3.0021276049022798e-43	1.200851041960912e-44	1.0848671275895297e-39	7045951304787193.0	4.339468510358119e-41	2.8927801321307564e-39	1.8787911835559876e+16	1.1571120528523026e-40
58.0	2.7438322299664514e-42	1.0975328919865806e-43	1.0280739326122911e-38	7305652819770649.0	4.112295730449164e-40	2.809828504389144e-38	1.996707715757628e+16	1.1239314017556575e-39
59.0	2.3280806151379884e-41	9.312322460551953e-43	9.034928440557516e-38	7566916435355960.0	3.6139713762230065e-39	2.531071063036548e-37	2.1198179212987e+16	1.0124284252146194e-38
60.0	1.8405980903033014e-40	7.362392361213206e-42	7.390998760042469e-37	7829542713991261.0	2.956399504016988e-38	2.1223286007154785e-36	2.2482566932986012e+16	8.489314402861914e-38
61.0	1.360640464386814e-39	5.442561857547256e-41	5.647792957496626e-36	8093336927505029.0	2.2591171829986505e-37	1.6623485472352703e-35	2.3821600729653852e+16	6.649394188941081e-37
62.0	9.435334024390758e-39	3.774133609756303e-40	4.0445768249849167e-35	8358109278718690.0	1.6178307299939666e-36	1.220260282548522e-34	2.521665239986813e+16	4.8810411301940874e-36
63.0	6.156266655457837e-38	2.462506662183135e-39	2.7228114795485164e-34	8623675092226612.0	1.0891245918194066e-35	8.420417577506553e-34	2.6669105031587084e+16	3.368167031002621e-35
64.0	3.790166599694483e-37	1.5160666398777933e-38	1.7280676531039855e-33	8889854976011283.0	6.912270612415941e-35	5.477879723842309e-33	2.8180352912410268e+16	2.1911518895369236e-34
65.0	2.207691853282052e-36	8.830767413128208e-38	1.0367511636712629e-32	9156474955547312.0	4.147004654685052e-34	3.368677893438333e-32	2.9751801440325652e+16	1.3474711573753334e-33
66.0	1.219680960459865e-35	4.878723841839461e-37	5.894678116744723e-32	9423366582026332.0	2.3578712466978893e-33	1.963244105033576e-31	3.13848670365571e+16	7.852976420134304e-33
67.0	6.406267662718632e-35	2.5625070650874528e-36	3.1838534600219306e-31	9690367016308772.0	1.2735413840087722e-32	1.0869039644989739e-30	3.308097706043151e+16	4.347615857995896e-32
68.0	3.2061084446121916e-34	1.2824433778448766e-35	1.6373005105670782e-30	9957319090175994.0	6.549202042268314e-32	5.729064157231739e-30	3.4841569726188344e+16	2.2916256628926956e-31
