T	H2O_370	H2O_470	H2O_63	H2O_des	H2O_ads	NH3_33	NH3_30	NH3_46	NH3_ads	CH3OH_309	CH3OH_46	CH3OH_375	CH3OH_ads	H2O_qrrho_370	H2O_qrrho_470	H2O_qrrho_63	H2O_qrrho_des	H2O_qrrho_ads	NH3_qrrho_33	NH3_qrrho_30	NH3_qrrho_46	NH3_qrrho_ads	CH3OH_qrrho_309	CH3OH_qrrho_46	CH3OH_qrrho_375	CH3OH_qrrho_ads	H2O_diff_370	H2O_diff_470	H2O_diff_63	H2O_diff_des	H2O_diff_ads	NH3_diff_33	NH3_diff_30	NH3_diff_46	NH3_diff_ads	CH3OH_diff_309	CH3OH_diff_46	CH3OH_diff_375	CH3OH_diff_ads
20.0	0.6584440950353635	0.6592707703406859	0.6665553714236992	0.6619348085999672	0.6395902709942147	0.574137526990641	0.5646913380356886	0.6266996785938717	0.6094151420474856	0.664410578180523	0.6603896864959985	0.6616694152626703	0.6073317779187076	0.5615895815578114	0.5737409141287989	0.6789846258803054	0.679852958620913	0.5842024361854987	0.4521342660502793	0.527895149086338	0.5521899199365223	0.5667962117895555	0.5811517123420873	0.49480802504826443	0.509417920257202	0.45403672632000314	-0.09685451347755214	-0.08552985621188702	0.012429254456606142	0.017918150020945767	-0.05538783480871601	-0.12200326094036174	-0.03679618894935066	-0.07450975865734932	-0.042618930257930066	-0.08325886583843567	-0.16558166144773406	-0.1522514950054683	-0.1532950515987045
21.0	0.6898871482971157	0.6907577726512957	0.7002589092645487	0.695592598785004	0.6692340753782668	0.5958429951798372	0.5892565200088012	0.6555533025027372	0.6367081034237145	0.6973031263468031	0.6919553796237293	0.6935920789546169	0.6324860427204676	0.5893285738068235	0.6020727325050259	0.7130353187167798	0.7138894173187059	0.613307382889552	0.4745366493486751	0.554138394094549	0.5795550297562749	0.5950789758187102	0.6099976331695388	0.5189515038568144	0.5343580092140923	0.4763474125356405	-0.10055857449029226	-0.08868504014626977	0.01277640945223113	0.01829681853370191	-0.055926692488714846	-0.12130634583116207	-0.03511812591425223	-0.07599827274646231	-0.04162912760500437	-0.08730549317726433	-0.1730038757669149	-0.15923406974052468	-0.1561386301848271
22.0	0.7210467027112044	0.7219546853393435	0.7340386388556074	0.7293536833188718	0.6986856698478616	0.6170860894412888	0.6137175309841382	0.6841777657336373	0.6638373364494401	0.7300731249491265	0.7231345137899886	0.7251826869267401	0.6571449599852566	0.6169882594844911	0.6303455842026633	0.7471007148890187	0.7479211821110281	0.6423925491337519	0.4968905246228117	0.58031098734705	0.6068527959785949	0.6233506420063852	0.6387627800276332	0.5429200645365342	0.5591354763994685	0.4985585719115324	-0.10405844322671332	-0.0916091011366802	0.013062076033411363	0.018567498792156245	-0.056293120714109746	-0.12019556481847715	-0.03340654363708817	-0.07732496975504244	-0.04048669444305486	-0.09131034492149326	-0.18021444925345442	-0.16604721052727167	-0.15858638807372416
23.0	0.7519118463748689	0.7528579765507566	0.7678944002144612	0.763210233828546	0.7279530920977544	0.6378911964967	0.6380629533546416	0.7125664653308148	0.6908130053181384	0.7626973104521528	0.7538879839029667	0.7564024532511411	0.6813110522578015	0.6445623577672093	0.6585623417390293	0.7811782653115468	0.7819455367920869	0.6714560043046078	0.5191890136007639	0.6064009980924544	0.6340756969510009	0.6516090008042985	0.6674311248572865	0.5666921186555116	0.58372812009302	0.5206580281509672	-0.10734948860765958	-0.09429563481172731	0.013283865097085568	0.018735302963540867	-0.05649708779314655	-0.11870218289593615	-0.03166195526218718	-0.07849076837981395	-0.039204004513839874	-0.09526618559486633	-0.18719586524745513	-0.17267433315812108	-0.16065302410683435
24.0	0.7824739640169703	0.7834680627201273	0.80182438236876	0.7971538176532416	0.7570436531280138	0.6582788737267009	0.6622795225864588	0.7407133623569137	0.7176435212548995	0.7951517231953745	0.7841796861625095	0.7872146801932026	0.704985990450699	0.6720451617095329	0.6867267756908317	0.8152647127460718	0.8159598324973929	0.7004956506781224	0.5414249467582753	0.6323971471251403	0.6612168487862221	0.6798513454621695	0.695985961110218	0.5902471567460885	0.6081143389587124	0.5426337888516388	-0.11042880230743746	-0.09674128702929552	0.013440330377311849	0.018806014844151342	-0.056548002449891444	-0.11685392696842556	-0.029882375461318555	-0.07949651357069154	-0.037792175792729976	-0.09916576208515648	-0.19393252941642103	-0.17910034123449026	-0.16235220159906016
25.0	0.8127265663972189	0.8137886044422494	0.8358253153937452	0.8311757549832736	0.785963931821688	0.6782663739873853	0.6863531985900156	0.7686132175503593	0.7443356661630846	0.8274121264283426	0.8139769367917886	0.8175852640651793	0.7281709100094915	0.6994315695445192	0.7148432242262241	0.8493562002012877	0.849961539568261	0.7295092305146577	0.5635909518381808	0.6582890212191693	0.6882701156429665	0.7080744773707534	0.7244101798215686	0.6135660711726955	0.6322734999030938	0.5644742308539453	-0.11329499685269961	-0.09894538021602528	0.013530884807542498	0.018785784584987475	-0.05645470130703034	-0.11467542214920456	-0.02806417737084632	-0.0803431019073928	-0.0362611887923312	-0.10300194660677398	-0.20041086561909316	-0.1853117641620855	-0.1636966791555462
26.0	0.8426651038028118	0.84382580282222	0.8698926862185272	0.8652673876330187	0.8147197809195336	0.697868132073879	0.7102699757672566	0.7962617419545133	0.770894717320967	0.8594543850532963	0.8432507282820307	0.8474830636469197	0.750866684907894	0.7267170967753194	0.7429162871815942	0.8834483856289609	0.8839482847358741	0.758494330238641	0.5856795406375475	0.6840672225556804	0.715230167758601	0.7362747239326696	0.7526865264543227	0.6366313881370944	0.6561862377538321	0.5861682487584335	-0.11594800702749242	-0.10090951564062578	0.013555699410433664	0.018680897102855365	-0.056225450680892575	-0.11218859143633153	-0.02620275321157617	-0.08103157419591223	-0.034619993388297465	-0.10676785859897364	-0.20661934014493633	-0.1912968258930876	-0.16469843614946045
27.0	0.872286773331252	0.8735877374864307	0.9040209605721448	0.8994202735159399	0.8433163403508569	0.7170962047210018	0.7340164711979537	0.823655674238053	0.7973245736171909	0.8912547957137187	0.8719758442754716	0.8768801433567751	0.7730741528766328	0.753897872341593	0.7709505577752642	0.9175365553547501	0.9179178746393521	0.7874483806389909	0.6076831921057403	0.7097234590830093	0.7420924947417028	0.7644479662032637	0.7807978317561105	0.6594274153436868	0.6798346860181527	0.6077053665605887	-0.11838890098965904	-0.10263717971116648	0.013515594782605334	0.018497601123412255	-0.05586795971186598	-0.10941301261526148	-0.02429301211494439	-0.08156317949635017	-0.03287660741392717	-0.11045696395760818	-0.21254842893178483	-0.19704545733862244	-0.16536878631604413
28.0	0.901590326866653	0.9030837713008756	0.9382037982839742	0.9336263202157425	0.8717580551273398	0.7359606616972367	0.7575803293644943	0.850792797817011	0.8236278823976372	0.9227903648829877	0.9001308568966174	0.9057519063732311	0.7947942912652602	0.7809706218899615	0.7989503983494315	0.9516157308369161	0.9518683070946695	0.8163686532963973	0.6295944300488336	0.7352505835617553	0.7688533830401463	0.7925896739467514	0.8087272131103913	0.681940315577565	0.7032026416923622	0.6290758148681707	-0.1206197049766915	-0.10413337295144409	0.01341193255294193	0.018241986878926975	-0.05538940183094254	-0.10636623164840309	-0.022329745802738943	-0.08193941477686473	-0.031038208450885785	-0.1140631517725964	-0.21819054131905247	-0.20254926468086887	-0.1657184763970896
29.0	0.9305758845144683	0.9323240344635093	0.9724342533558447	0.96787786974329	0.900048696115858	0.7544699288282367	0.7809504788132264	0.8776719110340271	0.8498061654100866	0.9540390353017698	0.9276980306917375	0.9340771342021861	0.8160283467826491	0.8079326408658364	0.8269197616358652	0.9856807652290189	0.9857977717932819	0.8452522542707283	0.6514058940548725	0.7606425898369878	0.7955098666398691	0.8206949461031873	0.8364582453446492	0.7041581183531563	0.7262756696552803	0.6502705777284915	-0.12264324364863188	-0.10540427282764409	0.013246511873174271	0.01791990204999183	-0.05479644184512977	-0.10306403477336423	-0.020307888976238586	-0.08216204439415797	-0.029111219306899305	-0.11758078995712062	-0.22353991233858117	-0.20780146454690573	-0.16575776905415762
30.0	0.9592447566500644	0.961318991725505	1.0067049536425834	1.0021677450154836	0.9281913828640119	0.7726310855919895	0.8041172721793224	0.9042927628475151	0.8758599422235323	0.9849798636276347	0.9546631560594383	0.9618379492361914	0.8367779245594459	0.8347817598220056	0.8548620557349149	1.0197264277679463	1.0197046422410128	0.8740961165009472	0.6731104026131712	0.7858945749376692	0.8220596593797328	0.8487585549555704	0.863975101727635	0.726070682283782	0.7490411537483077	0.6712814138772231	-0.12446299682805873	-0.10645693599059003	0.01302147412536292	0.017536897225529202	-0.05409526636306472	-0.09952068297881822	-0.018222697241653152	-0.08223310346778234	-0.02710138726796185	-0.12100476189999965	-0.22859247377565628	-0.21279679548788366	-0.16549651068222282
31.0	0.9875992765535805	0.9900790904925345	1.0410082576154367	1.0364892670104373	0.956188608229456	0.7904501208390313	0.8270725366914106	0.9306559650751689	0.901788849638617	1.0155931537035492	0.9810153327551838	0.9890197160544982	0.8570450429714699	0.8615163040312572	0.8827800489720592	1.0537474752098446	1.053587460767151	0.9028969924642456	0.6947010077685805	0.8110026751652077	0.8485010761525662	0.8767749925343464	0.8912626670502523	0.7476696203090192	0.7714883024101635	0.6921008574187559	-0.12608297252232326	-0.10729904152047531	0.012739217594407881	0.01709819375671362	-0.053291615765210354	-0.09574911307045086	-0.016069861526202822	-0.0821548889226027	-0.02501385710427062	-0.12433048665329693	-0.23334571244616464	-0.2175314136443347	-0.16494418555271395
32.0	1.0156426447509617	1.0186144838335158	1.0753363876171234	1.0708362500618593	0.9840422648874894	0.8079321505689656	0.8498095580135121	0.9567628905248009	0.9275917558570357	1.0458605506445944	1.0067467212106787	1.0156108958783474	0.8768321608309888	0.8881350492057922	0.9106758097340077	1.0877387104211784	1.0874449183637602	0.9316514485071883	0.7161710410020201	0.8359639835838648	0.8748329489654447	0.9047385180117007	0.9183066253636544	0.7689481987563478	0.7936081168831439	0.7127222027396414	-0.12750759554516944	-0.10793867409950808	0.012402322804055066	0.016608668301900886	-0.052390816380301075	-0.0917611095669455	-0.01384557442964729	-0.08192994155935618	-0.022853237845334995	-0.12755392528094	-0.23779852245433086	-0.2220027789952035	-0.16410995809134743
33.0	1.043378785577572	1.0469348203931415	1.1096815403591134	1.1052029814116817	1.0117536739145412	0.8250816017604076	0.8723230163029125	0.9826155645614476	0.9532668684625807	1.0757651011887333	1.0318522763847053	1.0416028669632522	0.8961421831898988	0.9146371748673323	0.9385506760052171	1.1216950288440857	1.121275830980579	0.9603558619896211	0.7375141503421663	0.8607764554057716	0.9010545425295787	0.9326432050307532	0.945093525263919	0.7899012196981512	0.8153933297123583	0.7331394779927705	-0.1287416107102397	-0.10838414438792432	0.012013488484972301	0.01607284956889732	-0.0513978119249201	-0.0875674514182413	-0.0115465608971409	-0.08156102203186888	-0.020623663431827532	-0.13067157592481426	-0.24195105668655414	-0.22620953725089388	-0.16300270519712834
34.0	1.0708122160608002	1.0750490923676834	1.1440359762784662	1.139584189964254	1.0393236156291146	0.8419023661390959	0.8946088897819531	1.0082165559590768	0.978811835543338	1.1052912856309245	1.056329475906479	1.0669897219552444	0.9149784513295127	0.9410222166773339	0.9664052493959792	1.1556114539436413	1.1550791137244847	0.9890064220452985	0.7587243289780785	0.8854388067755197	0.9271654728484526	0.9604829880911967	0.9716108256712546	0.81052489441602	0.8368383206673181	0.7533474108895741	-0.12978999938346636	-0.10864384297170426	0.011575477665175082	0.01549492376023065	-0.05031719358381603	-0.08317803716101735	-0.009170083006433405	-0.08105108311062414	-0.01832884745214125	-0.13368045995966993	-0.24580458149045892	-0.23015140128792633	-0.1616310404399386
35.0	1.0979479269307948	1.1029655326652725	1.1783920898728526	1.1739750081779328	1.0667523627724802	0.8583979275582241	0.9166643379869055	1.0335688713607678	1.0042238395334118	1.1344250262982993	1.0801780515472024	1.0917680514860568	0.9333447216979529	0.9672900188243833	0.9942394087996294	1.1894831629577172	1.1888537542140605	1.017599134416701	0.7797959358533835	0.9099504114762687	0.9531656312274778	0.9882517072762549	0.9978469249401107	0.8308167141576447	0.8579390164463947	0.7733413898887456	-0.13065790810641154	-0.10872612386564318	0.011091073084864567	0.01487874603612771	-0.04915322835577918	-0.07860199170484061	-0.006713926510636847	-0.08040324013329003	-0.01597213225715688	-0.1365781013581886	-0.24936133738955768	-0.23382903503966213	-0.16000333180920734
