T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
78.0	4.42292236089358e-22	1.769168944357432e-23	4.505227552297459e-20	242427075679535.38	1.8020910209189836e-21	8.34109315086374e-20	448835668578675.1	3.336437260345496e-21
79.0	1.195145263337508e-21	4.780581053350032e-23	1.2601936948294843e-19	250951799953693.84	5.040774779317937e-21	2.356666129449047e-19	469300560304077.94	9.426664517796187e-21
80.0	3.1510890274295725e-21	1.260435610971829e-22	3.437463405352623e-19	259627754543924.94	1.3749853621410492e-20	6.493190937848925e-19	490423426877396.44	2.59727637513957e-20
81.0	8.113785653479172e-21	3.2455142613916687e-22	9.152073381740127e-19	268453870805804.78	3.6608293526960513e-20	1.7462388357466686e-18	512216800777533.56	6.984955342986674e-20
82.0	2.0421341597643905e-20	8.168536639057562e-22	2.3804686432541507e-18	277429029290220.47	9.521874573016603e-20	4.58791432584479e-18	534693293059237.2	1.8351657303379162e-19
83.0	5.0280523092926964e-20	2.0112209237170786e-21	6.0538215925329485e-18	286552062091708.0	2.4215286370131795e-19	1.1785707445880084e-17	557865592866520.25	4.714282978352034e-19
84.0	1.212020456410632e-19	4.8480818256425284e-21	1.506490343197981e-17	295821755166379.6	6.025961372791924e-19	2.9625793889443774e-17	581746466955010.1	1.185031755577751e-18
85.0	2.862454576178759e-19	1.1449818304715037e-20	3.6711477224996884e-17	305236850615562.44	1.4684590889998754e-18	7.292683900953538e-17	606348759222957.5	2.9170735603814154e-18
86.0	6.628183247369291e-19	2.651273298947716e-20	8.766981140042312e-17	314796048931678.8	3.506792456016925e-18	1.7592259882428235e-16	631685390250647.0	7.036903952971295e-18
87.0	1.5058170150134007e-18	6.023268060053603e-20	2.0531020296571657e-16	324498011203266.7	8.212408118628664e-18	4.1617130304841736e-16	657769356847959.6	1.66468521219367e-17
88.0	3.3585577368848344e-18	1.3434230947539337e-19	4.718122556160639e-16	334341361276373.4	1.8872490224642568e-17	9.661058616961478e-16	684613731609849.9	3.8644234467845945e-17
89.0	7.358763515939578e-18	2.9435054063758313e-19	1.0646314752843972e-15	344324687869901.56	4.258525901137592e-17	2.2021779799197095e-15	712231662479515.2	8.808711919678854e-17
90.0	1.5848378073868992e-17	6.339351229547597e-19	2.3602709719205065e-15	354446546642816.3	9.441083887682043e-17	4.9319214614741495e-15	740636372319026.9	1.9727685845896678e-16
91.0	3.356896888050756e-17	1.3427587552203025e-18	5.144066354720735e-15	364705462211393.7	2.057626541888303e-16	1.0858389610731776e-14	769841158487220.8	4.343355844292749e-16
92.0	6.996792016673151e-17	2.79871680666926e-18	1.1027377460401409e-14	375099930115012.6	4.410950984160605e-16	2.351467096463962e-14	799859392424648.0	9.405868385856033e-16
93.0	1.4357942181813221e-16	5.7431768727252895e-18	2.3264167948967368e-14	385628418729243.5	9.305667179587136e-16	5.0114692053489826e-14	830704519245379.9	2.00458768213968e-15
94.0	2.9022354385500356e-16	1.1608941754200144e-17	4.83249438311116e-14	396289371125226.44	1.9329977532445483e-15	1.0516292920729263e-13	862390057335492.4	4.206517168292098e-15
95.0	5.781308814376915e-16	2.3125235257507675e-17	9.888570505953828e-14	407081206874603.8	3.9554282023818945e-15	2.1739088608917465e-13	894929597958042.6	8.695635443568712e-15
96.0	1.1354554159179392e-15	4.541821663671762e-17	1.9942292185961673e-13	418002323799455.25	7.976916874386192e-15	4.4289619352607113e-13	928336804864365.5	1.7715847741050213e-14
97.0	2.1996499058643582e-15	8.798599623457452e-17	3.9654171141216174e-13	429051099666905.94	1.586166845649266e-14	8.896868680152273e-13	962625413911527.1	3.5587474720639656e-14
98.0	4.204923078166065e-15	1.6819692312664336e-16	7.777856606955556e-13	440225893828265.06	3.11114264278467e-14	1.7629170027754793e-12	997809232685771.1	7.051668011114248e-14
99.0	7.935196497386743e-15	3.174078598954725e-16	1.5054482339742238e-12	451525048802738.0	6.021792935906318e-14	3.4471756441591216e-12	1033902140131798.9	1.3788702576684904e-13
100.0	1.4788346637361116e-14	5.915338654944545e-16	2.876584176855979e-12	462946891805866.3	1.150633670745924e-13	6.654296801535525e-12	1070918086187749.5	2.661718720632732e-13
101.0	2.72272900972199e-14	1.08909160388883e-15	5.428221163679841e-12	474489736223081.44	2.1712884654848486e-13	1.2685622188872265e-11	1108871091425712.2	5.074248875617982e-13
102.0	4.954117950292396e-14	1.9816471801170743e-15	1.0119629381100547e-11	486151883028798.5	4.047851752486263e-13	2.389183404339531e-11	1147775246697655.2	9.556733617609453e-13
103.0	8.911558810284185e-14	3.5646235241140596e-15	1.8644454364937406e-11	497931622151649.5	7.457781746135265e-13	4.44699365607475e-11	1187644712786621.8	1.7787974625191786e-12
104.0	1.5852910789644573e-13	6.34116431585908e-15	3.395926947240345e-11	509827233786597.2	1.3583707789506617e-12	8.182918941510517e-11	1228493720063069.0	3.273167576914046e-12
105.0	2.789777241092516e-13	1.1159108964374034e-14	6.116890130263222e-11	521836989654625.9	2.4467560522865895e-12	1.4890683046737152e-10	1270336568146229.0	5.956273219746082e-12
106.0	4.858108573603713e-13	1.943243429442719e-14	1.0899373763877157e-10	533959154211003.06	4.359749506140594e-12	2.680527646654475e-10	1313187625570353.0	1.0722110590106837e-11
107.0	8.373926926938545e-13	3.3495707707791714e-14	1.9217672275602463e-10	546191985802985.75	7.687068912118636e-12	4.774797242754581e-10	1357061329455757.8	1.9099188982352723e-11
