T	q_vib_ratio_all	q_vib_ratio_all_frg	q_vib_6N_frg_mol_only	q_vib_6N_frg	q_vib_6N_all	q_vib_frg_mol_only	q_vib_frg_frg	q_vib_frg_all
300.1	0.004820609276081204	0.0038862787489515093	0.002939220089567955	0.0005464967883343935	0.00045897926703133117	0.0022686688476434894	0.000421819462731592	0.00035426811640406394
305.1	0.0045423483104788005	0.003630956729929885	0.0027409789126356357	0.000502004105283136	0.0004219608820853457	0.0020969571549433485	0.0003840529730205703	0.00032281674503808745
310.1	0.004283198425521503	0.00339506983457912	0.002558275863979874	0.00046166636406829836	0.00038838534540151077	0.001939675035372931	0.0003500336823182075	0.0002944722925259674
315.1	0.004041631105094783	0.003176939039625578	0.0023897267561980608	0.0004250478997185047	0.00035789241752995154	0.0017954791916044786	0.00031935226795297726	0.00026889617687102306
320.1	0.0038162574903643056	0.0029750472662306584	0.0022340851267035754	0.000391763515632098	0.00033016352321181346	0.0016631640134101777	0.00029164823362293153	0.0002457901374406591
325.1	0.003605814060880348	0.0027880221802582977	0.0020902271474445176	0.00036147210605707675	0.000304916495257529	0.0015416461762185968	0.0002666036037250192	0.0002248910361509995
330.1	0.0034091499361426033	0.0026146209798255968	0.0019571383338605726	0.00033387114874550855	0.00028190103421653866	0.001429951101121751	0.000243937492062549	0.00020596637821208665
335.1	0.0032252155982045055	0.002453716923078727	0.001833901822016078	0.000308691940663596	0.00026089477949362016	0.0013272010355962675	0.00022340141571949116	0.0001888104463220043
340.1	0.003053052862231812	0.002304287381845005	0.0017196880145178403	0.00028569546937894905	0.00024169990373523636	0.0012326045472225919	0.00020477524510521155	0.00017324095876242114
345.1	0.0028917859445778907	0.002165403234955271	0.0016137454229023156	0.0002646688292483972	0.00022414015583074176	0.0011454472509412363	0.0001878636980591228	0.000159096175690535
350.1	0.002740613497439322	0.002036219439272804	0.001515392557358185	0.0002454221053511582	0.00020805828920312608	0.0010650836145928795	0.0001724933000358016	0.00014623238951153036
355.1	0.00259880149596864	0.0019159666373715664	0.0014240107345257604	0.00022778565971091785	0.00019331382157576366	0.0009909297082556395	0.00015850974423822005	0.0001345217449358974
360.1	0.0024656768782372815	0.0018039436788585689	0.0013390376911807168	0.00021160776410241277	0.00017978108040219272	0.0009224567807301894	0.00014577559551688595	0.00012385034249317496
365.1	0.0023406218509916333	0.0016995109479402753	0.001259961906283544	0.00019675253195267282	0.00016734749488791882	0.000859185561863882	0.00013416829022436808	0.00011411658614814706
370.1	0.0022230687850072835	0.0016020844033403543	0.001186317546512104	0.00018309810877938405	0.00015591210122503415	0.0008006812026153063	0.00012357839127061213	0.00010522974146186248
375.1	0.0021124956332641545	0.001511130248381527	0.0011176799612905612	0.00017053508646959175	0.00014538423247432148	0.0007465487761507903	0.0001139080635816693	9.71086756355567e-05
380.1	0.002008421813338163	0.001426160159200501	0.0010536616627369027	0.0001589651116656391	0.0001356823686080984	0.0006964292730975615	0.00010506974020256945	8.968075491751864e-05
385.1	0.0019104045025092192	0.001346727007888356	0.0009939087340874442	0.00014829966273652656	0.00012673312568869808	0.0006499960325780723	9.698495355301676e-05	8.288087836304744e-05
390.1	0.0018180353002678915	0.0012724210250231105	0.0009380976172020878	0.00013845897339197195	0.00011847036610054241	0.0006069515580064236	8.958330996604976e-05	7.665062991714802e-05
395.1	0.001730937218290861	0.001202866352744819	0.0008859322358630284	0.00012937108404342183	0.00011083441426012957	0.0005670246730025026	8.280158871771997e-05	7.093753332279729e-05
400.1	0.0016487619626573326	0.0011377179453508923	0.0008371414168841964	0.00012097100461455634	0.00010377136436630624	0.0005299679783104184	7.658294937595388e-05	6.569439651476801e-05
405.1	0.0015711874771857132	0.0010766587794767827	0.0007914765756603338	0.00011319997472311735	9.723246857995714e-05	0.0004955555754123182	7.087623353069206e-05	6.0878733998792724e-05
410.1	0.0014979157203649303	0.0010193973403737505	0.0007487096367998619	0.0001060048090545513	9.117359558561352e-05	0.0004635810267075389	6.563534887501605e-05	5.645225728742008e-05
415.1	0.0014286706515022813	0.0009656653546863739	0.0007086311639855508	9.933731737484246e-05	8.555475082747252e-05	0.0004338555257657927	6.08187252384295e-05	5.2380424808372286e-05
420.1	0.0013631964044720174	0.0009152157435417273	0.0006710486762620576	9.315379002613739e-05	8.033965086267794e-05	0.00040620625433554047	5.638883357084453e-05	4.863204385311847e-05
425.1	0.0013012556298739341	0.000867820772752298	0.000635785130619275	8.741454094882153e-05	7.549534526373502e-05	0.00038047490555773606	5.2311760074477296e-05	4.517891812174041e-05
430.1	0.0012426279885440065	0.0008232703795606964	0.0006026775530767161	8.208350130674974e-05	7.099188035353677e-05	0.00035651635525491893	4.855682871055877e-05	4.1995535269445284e-05
435.1	0.001187108781237022	0.0007813706576629308	0.0005715758025210892	7.712785768288845e-05	6.680199979083438e-05	0.00033419746528267285	4.509626619358681e-05	3.9058789590881554e-05
440.1	0.0011345077009562645	0.0007419424842790941	0.0005423414533447101	7.251772958148341e-05	6.290087765812957e-05	0.00031339600478471285	4.19049043489767e-05	3.63477356081435e-05
445.1	0.0010846476958664513	0.0007048202748308246	0.0005148467845093081	6.822588163759155e-05	5.9265880252374994e-05	0.00029399967681881494	3.895991536831283e-05	3.3843368871745995e-05
450.1	0.0010373639320166168	0.0006698508523645649	0.0004889738640463392	6.422746651032101e-05	5.5876353253770906e-05	0.0002759052392481316	3.624057606512916e-05	3.1528430753374126e-05
455.1	0.0009925028462423066	0.0006368924202545298	0.0004646137192255034	6.049979493507814e-05	5.271343135977551e-05	0.0002590177100468003	3.37280577261197e-05	2.938723441545927e-05
