T	370_TPD_kooji	370_TPD_full	370_rate_full	370_rate_kooji	ratio
147.0	0.0	0.0	1161.050356396389	1440.0568031880016	0.806253165726555
148.0	0.0	0.0	1409.1972902649145	1741.8042194413756	0.8090445955613005
149.0	0.0	0.0	1706.1456953980553	2101.618065614165	0.8118248140865029
150.0	0.0	0.0	2060.6529919894306	2529.6707614787206	0.8145933547434745
151.0	0.0	0.0	2482.895056503986	3037.738765892481	0.8173497617312452
152.0	0.0	0.0	2984.670571808516	3639.426778211057	0.8200935899239651
153.0	0.0	0.0	3579.63101783958	4350.419113744625	0.8228244047866945
154.0	0.0	0.0	4283.539014544268	5188.761012996459	0.8255417822896735
155.0	0.0	0.0	5114.557956803697	6175.172865253231	0.8282453088208341
156.0	0.0	0.0	6093.57612232655	7333.400559987041	0.83093458109662
157.0	0.0	0.0	7244.568688361825	8690.605424700827	0.8336092060710739
158.0	0.0	0.0	8595.001361778399	10277.797465496178	0.8362688008430667
159.0	0.0	0.0	10176.27960981358	12130.315896929542	0.8389129925618366
160.0	0.0	0.0	12024.247775781672	14288.36123079168	0.84154141833069
161.0	0.0	0.0	14179.742675404728	16797.583489397737	0.8441537251090115
162.0	0.0	0.0	16689.206595278145	19709.731417891737	0.8467495696125177
163.0	0.0	0.0	19605.364955378525	23083.36789198732	0.8493286182118999
164.0	0.0	0.0	22987.9742524665	26984.657052499377	0.8518905468297329
165.0	0.0	0.0	26904.646270716978	31488.229045936456	0.8544350408359663
166.0	0.0	0.0	31431.75492981641	36678.12861126442	0.8569617949418289
167.0	0.0	0.0	36655.43253900248	42648.85412661667	0.8594705130923139
168.0	0.0	0.0	42672.66263787673	49506.494116074544	0.8619609083572958
169.0	0.0	0.0	49592.477031086106	57369.96861551238	0.8644327028213974
170.0	0.0	0.0	57537.26506383384	66372.38320766778	0.8668856274726436
171.0	0.0	0.0	66644.20363832357	76662.50395982513	0.8693194220899485
172.0	0.0	0.0	77066.81693727185	88406.36193249463	0.871733835129632
173.0	0.0	0.0	88976.6752990609	101788.99637390587	0.874128623610936
174.0	0.0	0.0	102565.24317949364	117016.34617265854	0.8765035530006878
175.0	0.0	0.0	118045.88663686327	134317.29960908592	0.8788583970971825
176.0	0.0	0.0	135656.05128955512	153945.91292434122	0.8811929379133638
177.0	0.0	0.0	155659.62221802055	176183.80871447068	0.8835069655594044
178.0	0.0	0.0	178349.4778149499	201342.76565426096	0.8858002781247459
179.0	0.0	0.0	204050.25012809288	229767.51156191187	0.888072681559728
180.0	0.0	0.0	233121.3047885876	261838.732330044	0.8903239895568296
181.0	0.0	0.0	265959.9541730288	297976.3097705563	0.8925540234316605
182.0	0.0	0.0	303004.91800888977	338642.80194981577	0.8947626120037618
183.0	0.0	0.0	344740.0461993786	384347.1801259093	0.8969495914772794
184.0	0.0	0.0	391698.3192143864	435648.8369405468	0.8991148053216119
185.0	0.0	0.0	444466.1419677472	493161.8810639209	0.9012581041520886
186.0	0.0	0.0	503687.9476766579	557559.7340407472	0.9033793456107928
187.0	0.0	0.0	570071.1287754982	629580.0456389904	0.9054783942475596
188.0	0.0	0.0	644391.3125324663	710029.9445587044	0.9075551214012056
189.0	0.0	0.0	727497.9995922087	799791.6419161872	0.9096094050810868
190.0	0.0	0.0	820320.584239704	899828.4054773633	0.9116411298491072
191.0	0.0	0.0	923874.7757488154	1011190.9231733746	0.9136501867020929
192.0	0.0	0.0	1039269.44074219	1135024.0749895757	0.9156364729547564
193.0	0.0	0.0	1167713.887045776	1272574.1328760767	0.9175998921231318
194.0	0.0	0.0	1310525.610070671	1425196.4088824168	0.9195403538087314
195.0	0.0	0.0	1469138.5232950652	1594363.3722702698	0.921457773583388
196.0	0.0	0.0	1645111.6949489417	1781673.25690532	0.923352072874698
197.0	0.0	0.0	1840138.6135234355	1988859.180771787	0.9252231788523914
198.0	0.0	0.0	2056057.0052317388	2217798.799989474	0.9270710243154145
199.0	0.0	0.0	2294859.227041013	2470524.520243177	0.9288955475799636
200.0	0.0	0.0	2558703.259370599	2749234.289056501	0.9306966923683723
201.0	0.0	0.0	2849924.323012006	3056302.992856091	0.9324744076989482
202.0	0.0	0.0	3171047.1452682405	3394294.4832770363	0.9342286477768244
203.0	0.0	0.0	3524798.900732417	3765974.257654645	0.935959371885769
204.0	0.0	0.0	3914122.852529233	4174322.819131761	0.9376665442811516
205.0	0.0	0.0	4342192.720222421	4622549.742282594	0.93935013408385
206.0	0.0	0.0	4812427.800951436	5114108.470613613	0.941010115175367
207.0	0.0	0.0	5328508.870694198	5652711.872748408	0.9426464660940557
208.0	0.0	0.0	5894394.892862367	6242348.58453527	0.9442591699324643
209.0	0.0	0.0	6514340.561720127	6887300.164733771	0.9458482142359101
210.0	0.0	0.0	7192914.708373727	7592159.092338654	0.9474135909022494
211.0	0.0	0.0	7935019.597306855	8361847.63398442	0.9489552960827891
212.0	0.0	0.0	8745911.141638918	9201637.610243134	0.9504733300845376
213.0	0.0	0.0	9631220.065450553	10117171.08997891	0.951967697273629
214.0	0.0	0.0	10596974.041662095	11114482.042255536	0.9534384059800578
215.0	0.0	0.0	11649620.83405636	12200018.975607472	0.9548854684036502
216.0	0.0	0.0	12796052.472114503	13380668.59478015	0.9563089005213306
217.0	0.0	0.0	14043630.487373842	14663780.505319117	0.9577087219956462
218.0	0.0	0.0	15400212.24002871	16057192.996642731	0.9590849560847039
219.0	0.0	0.0	16874178.364464708	17569259.934467174	0.9604376295532595
220.0	0.0	0.0	18474461.36236141	19208878.793662973	0.9617667725851938
221.0	0.0	0.0	20210575.371901564	20985519.86281451	0.9630724186973268
222.0	0.0	0.0	22092647.14149153	22909256.65192126	0.9643546046544793
223.0	0.0	0.0	24131448.23623367	24990797.53482453	0.9656133703859046
224.0	0.0	0.0	26338428.505184755	27241518.6580681	0.966848758902952
225.0	0.0	0.0	28725750.837199505	29673498.14799844	0.9680608162181625
226.0	0.0	0.0	31306327.23287494	32299551.64798846	0.9692495912655996
227.0	0.0	0.0	34093856.21980033	35133269.21772011	0.9704151358224433
228.0	0.0	0.0	37102861.637972586	38189053.626490034	0.9715575044320028
229.0	0.0	0.0	40348732.821837865	41482160.072507605	0.9726767543279183
230.0	0.0	0.0	43847766.20500728	45028737.36013461	0.9737729453597141
231.0	0.0	0.0	47617208.373227626	48845870.56697345	0.9748461399196237
232.0	0.0	0.0	51675300.59069006	52951625.23264026	0.9758964028706819
233.0	0.0	0.0	56041324.82422841	57365093.10097034	0.9769238014760663
234.0	0.0	0.0	60735651.289392434	62106439.44728473	0.9779284053297597
235.0	0.0	0.0	65779787.541763015	67196952.02220462	0.9789102862883823
236.0	0.0	0.0	71196429.13625681	72659091.64333905	0.9798695184043589
237.0	0.0	0.0	77009511.87646867	78516544.46597853	0.9808061778602233
