T	33_TPD_HH	33_rate_HH	33_TPD_full	33_pre_full	33_rate_full	33_TPD_Tait	33_pre_Tait	33_rate_Tait
127.0	0.0	49.15130157175237	0.0	182023940763978.47	5261.685706174565	0.0	3776369274700714.0	109161.83964885202
128.0	0.0	59.59385854196312	0.0	183097781550483.1	6417.205628777988	0.0	3881470822712554.5	136037.67451754148
129.0	0.0	72.04811667031746	0.0	184151125884791.47	7802.94200448743	0.0	3988645307690765.0	169008.83914146264
130.0	0.0	86.86136008107599	0.0	185184079261394.53	9460.010959944595	0.0	4097917069126025.5	209339.48826214176
131.0	0.0	104.43374387842658	0.0	186196752318696.38	11436.004479500294	0.0	4209310541032378.5	258531.33098938855
132.0	0.0	125.2252305036234	0.0	187189260584483.8	13785.868649496444	0.0	4322850251582961.5	318363.59401007835
133.0	0.0	149.7632822429763	0.0	188161724228953.34	16572.880596127037	0.0	4438560822749931.0	390938.90553731966
134.0	0.0	178.6513739718143	0.0	189114267825152.97	19869.73266458605	0.0	4556466969948457.0	478735.85440733546
135.0	0.0	212.57839381237085	0.0	190047020116710.3	23759.7328596484	0.0	4676593501684788.0	584669.0583465152
136.0	0.0	252.32900302657245	0.0	190960113792690.38	28338.131042813788	0.0	4798965319208215.0	712157.6615380436
137.0	0.0	298.7950301473569	0.0	191853685269457.6	33713.58085667536	0.0	4923607416166934.0	865203.2745596458
138.0	0.0	352.9879780638064	0.0	192727874479386.44	40009.747821209545	0.0	5050544878267731.0	1048478.4698894515
139.0	0.0	416.0527265044867	0.0	193582824666283.88	47367.07451706073	0.0	5179802882939328.0	1267427.0538351426
140.0	0.0	489.2825160982118	0.0	194418682187384.78	55944.71423540437	0.0	5311406698999503.0	1528377.4512839508
141.0	0.0	574.1353039199713	0.0	195235596321761.8	65922.64493035403	0.0	5445381686325706.0	1838670.6634495484
142.0	0.0	672.2515841393606	0.0	196033719085030.38	77503.97575582942	0.0	5581753295529275.0	2206804.391157199
143.0	0.0	785.4737710669617	0.0	196813205050181.44	90917.45890196218	0.0	5720547067633102.0	2642595.0575098027
144.0	0.0	915.8672455272259	0.0	197574211174415.12	106420.21986410637	0.0	5861788633752707.0	3157359.614358736
145.0	0.0	1065.7431690627948	0.0	198316896631834.44	124300.71967810256	0.0	6005503714780672.0	3764119.1772104767
146.0	0.0	1237.6831739798304	0.0	199041422651853.97	144881.96303606243	0.0	6151718121074363.0	4477826.703362691
147.0	0.0	1434.566040665223	0.0	199747952363182.47	168524.9665554539	0.0	6300457752146890.0	5315621.1085161185
148.0	0.0	1659.596476930157	0.0	200436650643252.28	195632.50180824994	0.0	6451748596361245.0	6297110.40816829
149.0	0.0	1916.3361173488295	0.0	201107683972947.44	226653.1280242506	0.0	6605616730627583.0	7444686.67207894
150.0	0.0	2208.7368636508377	0.0	201761220296503.53	262085.52966098202	0.0	6762088320103532.0	8783875.79329776
151.0	0.0	2541.1766901814162	0.0	202397428886447.28	302483.1742800529	0.0	6921189617897584.0	10343725.297964955
152.0	0.0	2918.4980412491304	0.0	203016480213432.38	348459.3063840334	0.0	7082946964775427.0	12157233.658596547
153.0	0.0	3346.048949827651	0.0	203618545820863.84	400692.2930474403	0.0	7247386788869180.0	14261824.822128557
154.0	0.0	3829.7270095509293	0.0	204203798204158.7	459931.33731777675	0.0	7414535605389532.0	16699871.924848601
155.0	0.0	4376.026334232964	0.0	204772410694538.8	527002.5754669026	0.0	7584420016340718.0	19519274.439742114
156.0	0.0	4992.08764123698	0.0	205324557347211.53	602815.5742366594	0.0	7757066710238218.0	22774093.287910506
