mol_iso_xtb	mol_def_xtb	mol_iso_cry	5A_complex	5A_ref	7_5A_complex	7_5A_ref	10A_complex	10A_ref	all_complex	all_ref	cry_des_all_complex	cry_des_all_ref	cry_des_all_opt_ref	cry_des_frag_complex	cry_des_frag_ref	cry_des_frag_opt_ref	cry_ads_all_complex	cry_ads_all_ref	cry_ads_frag_complex	cry_ads_frag_ref	cry_ads_mol_full_complex	cry_ads_mol_frag_complex	cry_ads_mol_only_complex
							3135.13	3164.46	" 244.50"	" 245.68"													
							3137.31	3169.56	" 245.23"	" 246.56"													
							3139.37	3174.89	" 246.59"	" 247.13"													
							3142.97	3176.54	" 247.34"	" 247.76"													
							3149.77	3182.64	" 248.32"	" 248.83"													
							3152.86	3187.15	" 248.59"	" 249.65"													
							3158.80	3191.09	" 249.10"	" 250.16"													
							3159.31	3200.68	" 249.77"	" 251.45"													
							3169.03	3208.40	" 251.50"	" 251.94"													
							3174.78	3209.10	" 252.00"	" 252.30"													
							3175.45	3218.31	" 252.38"	" 253.16"													
							3179.33	3221.82	" 253.26"	" 253.38"													
							3184.85	3225.86	" 253.48"	" 254.15"													
							3190.48	3233.81	" 253.98"	" 255.04"													
							3193.71	3248.96	" 254.07"	" 255.52"													
							3203.60	3250.62	" 255.75"	" 256.32"													
							3205.90	3259.96	" 256.20"	" 256.61"													
							3209.43	3263.20	" 256.72"	" 257.22"													
							3215.22	3264.99	" 257.73"	" 258.10"													
							3225.77	3272.62	" 258.00"	" 258.72"													
							3227.93	3273.80	" 258.29"	" 259.80"													
							3235.23	3275.75	" 259.55"	" 260.23"													
							3241.73	3276.94	" 260.14"	" 260.33"													
							3249.62	3280.64	" 260.46"	" 260.87"													
							3252.75	3283.46	" 261.11"	" 261.06"													
							3258.12	3289.24	" 261.47"	" 261.90"													
							3258.81	3295.48	" 261.98"	" 262.80"													
							3263.54	3300.09	" 262.79"	" 262.98"													
							3265.83	3312.37	" 263.14"	" 263.64"													
							3271.52	3312.88	" 264.06"	" 264.04"													
							3273.05	3320.46	" 264.81"	" 264.85"													
							3277.28	3330.11	" 265.12"	" 265.85"													
							3278.60	3332.12	" 265.75"	" 266.16"													
							3282.82	3334.48	" 266.68"	" 266.55"													
							3294.21	3338.91	" 266.95"	" 267.39"													
							3294.84	3346.35	" 267.93"	" 267.97"													
							3301.92	3352.37	" 268.43"	" 268.77"													
							3308.62	3354.59	" 268.70"	" 269.93"													
							3316.80	3361.85	" 269.13"	" 270.11"													
							3318.91	3363.97	" 269.50"	" 270.73"													
							3325.34	3364.83	" 270.36"	" 271.22"													
							3329.63	3366.67	" 270.92"	" 271.36"													
							3331.54	3374.53	" 271.90"	" 272.38"													
							3338.10	3375.91	" 272.48"	" 273.53"													
							3341.20	3376.97	" 272.61"	" 274.56"													
							3349.40	3377.73	" 274.04"	" 275.33"													
							3351.98	3380.72	" 274.63"	" 275.77"													
							3353.50	3385.28	" 275.20"	" 276.51"													
							3358.31	3390.81	" 276.26"	" 277.59"													
							3362.93	3393.86	" 276.73"	" 278.96"													
							3372.48	3397.97	" 277.81"	" 279.33"													
							3377.98	3409.58	" 278.85"	" 279.95"													
							3378.21	3409.95	" 279.37"	" 280.20"													
							3379.85	3414.51	" 279.60"	" 280.83"													
							3387.46	3416.32	" 280.39"	" 281.34"													
							3390.08	3419.32	" 280.49"	" 281.75"													
							3393.30	3420.43	" 281.34"	" 282.53"													
							3397.16	3422.96	" 282.53"	" 283.44"													
							3398.37	3425.06	" 283.80"	" 283.76"													
							3402.86	3426.22	" 284.87"	" 284.60"													
							3407.46	3433.70	" 285.34"	" 284.95"													
							3410.58	3436.44	" 285.76"	" 285.64"													
							3414.11	3440.08	" 285.89"	" 286.64"													
							3418.89	3454.08	" 286.80"	" 286.97"													
							3426.02	3464.03	" 287.87"	" 287.86"													
							3427.23	3465.83	" 288.11"	" 288.00"													
							3428.64	3473.09	" 288.78"	" 288.07"													
							3428.75	3488.72	" 289.28"	" 289.24"													
							3431.36	3492.04	" 289.58"	" 289.80"													
							3439.48	3492.48	" 290.19"	" 290.64"													
							3441.84	3501.46	" 290.54"	" 291.06"													
							3461.73	3504.98	" 290.96"	" 291.98"													
							3467.48	3513.55	" 291.22"	" 292.78"													
							3470.21	3514.40	" 292.81"	" 293.34"													
							3472.65	3525.43	" 292.88"	" 294.56"													
							3475.24	3527.36	" 294.41"	" 294.81"													
							3480.82	3563.14	" 294.85"	" 296.39"													
							3484.30	3569.13	" 295.67"	" 296.82"													
							3484.82	3572.47	" 295.98"	" 297.97"													
							3486.02	3587.70	" 296.48"	" 298.41"													
							3506.38	3649.74	" 297.09"	" 298.89"													
							3507.43	3660.17	" 297.56"	" 299.12"													
							3519.47	3661.74	" 297.87"	" 300.11"													
							3526.11	3662.64	" 299.05"	" 300.48"													
							3526.33	3674.67	" 299.68"	" 301.37"													
							3542.82	3675.51	" 300.86"	" 302.05"													
							3565.71	3684.74	" 301.32"	" 302.50"													
							3571.71		" 302.28"	" 302.89"													
							3582.41		" 302.70"	" 303.93"													
							3596.72		" 303.28"	" 304.49"													
							3658.87		" 304.07"	" 305.23"													
							3661.07		" 304.59"	" 306.10"													
							3664.41		" 305.14"	" 306.74"													
							3674.62		" 305.68"	" 307.19"													
							3686.11		" 306.44"	" 307.73"													
							3686.88		" 307.05"	" 308.51"													
									" 308.23"	" 308.72"													
									" 308.81"	" 309.47"													
									" 309.96"	" 310.69"													
									" 310.08"	" 311.21"													
									" 310.61"	" 311.86"													
									" 311.01"	" 312.96"													
									" 311.88"	" 313.52"													
									" 312.19"	" 313.95"													
									" 313.13"	" 314.76"													
									" 313.54"	" 314.85"													
									" 314.63"	" 315.48"													
									" 315.26"	" 316.29"													
									" 315.54"	" 316.63"													
									" 316.11"	" 317.32"													
									" 316.42"	" 317.66"													
									" 317.39"	" 319.14"													
									" 318.15"	" 319.59"													
									" 319.13"	" 320.25"													
									" 320.26"	" 320.61"													
									" 320.41"	" 321.47"													
									" 320.78"	" 322.53"													
									" 321.41"	" 322.87"													
									" 322.02"	" 323.25"													
									" 323.41"	" 324.56"													
									" 323.85"	" 325.23"													
									" 324.40"	" 326.04"													
									" 325.52"	" 326.45"													
